FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR001,A1,M,5,75,L,1,0,0,0,0,NA,NA,NA,NA,35.5,0.57,0.159149105
LR002,A1,F,5,50,S,1,0,0,0,0,NA,NA,NA,NA,31,0.32,-0.030090029
LR003,A1,F,5,50,S,1,0,0,0,0,NA,NA,NA,NA,30.5,0.32,0.016464981
LR004,A1,M,4,100,S,1,0,0,0,0,NA,NA,NA,NA,33,0.34,-0.148465565
LR005,A1,M,4,75,S,1,0,0,0,0,NA,NA,NA,NA,30.5,0.34,0.077089603
LR006,A1,F,5,50,S,1,0,0,0,0,NA,NA,NA,NA,29.5,0.27,-0.057989551
LR007,A1,F,2,75,L,1,0,0,0,0,NA,NA,NA,NA,35,0.56,0.18206113
LR008,A1,F,4,50,L,1,0,0,0,0,NA,NA,NA,NA,37.5,0.6,0.053522581
LR009,A1,F,4,75,L,1,0,0,0,0,NA,NA,NA,NA,38.5,0.6,-0.021825715
LR010,A1,M,5,50,L,1,0,0,0,0,NA,NA,NA,NA,37,0.57,0.040660334
LR011,A2,M,1,50,S,1,0,0,0,0,NA,NA,NA,NA,29,0.26,-0.04678732
LR012,A2,F,4,75,S,1,0,0,0,0,NA,NA,NA,NA,36,0.4,-0.235066299
LR013,A2,F,3,100,L,1,0,0,0,0,NA,NA,NA,NA,36.5,0.41,-0.249864933
LR014,A2,F,4,50,S,1,0,0,0,0,NA,NA,NA,NA,31,0.28,-0.163621421
LR015,A2,M,1,75,S,1,0,0,0,0,NA,NA,NA,NA,25.5,0.19,0.007795677
LR016,A2,F,5,50,S,1,0,0,0,0,NA,NA,NA,NA,32.5,0.37,-0.020196336
LR017,A2,F,3,75,S,1,0,0,0,0,NA,NA,NA,NA,35,0.45,-0.036628071
LR018,A2,M,5,100,S,1,0,0,0,0,NA,NA,NA,NA,30,0.28,-0.069741863
LR019,A2,M,4,100,S,1,0,0,0,0,NA,NA,NA,NA,25,0.16,-0.107358272
LR020,A2,F,5,100,S,1,0,0,0,0,NA,NA,NA,NA,30,0.23,-0.266452158
LR021,A3,M,4,50,L,1,0,0,0,0,NA,NA,NA,NA,34.5,0.47,0.048053004
LR022,A3,M,2,100,L,1,0,0,0,0,NA,NA,NA,NA,38,0.59,-0.001206548
