FID,Family,Shelf_stack,Diet,Level,Size,Trial,Days_breeding,P_day,P2_day,L_day,L2_day,Mean_react,Total_ZZ,Total_lead,Total_court
LR001,F137,A1,5,75,L,2,141,0.032682553,0.001068149,0.02011234,0.000404506,300,0,0,0
LR004,F137,A1,4,100,S,2,111,0.05312,0.002821734,0.00624,3.89E-05,156,1,1,122
LR005,F137,A1,4,75,S,4,113,0.039722478,0.001577875,0.004666195,2.18E-05,151,2,0,41
LR010,F137,A1,5,50,L,5,98,0.02184,0.000476986,0.01344,0.000180634,300,0,0,0
LR019,F118,A2,4,100,S,7,155,0.05312,0.002821734,0.00624,3.89E-05,106.7142857,5,2,872
LR021,F117,A3,4,50,L,1,120,0.02988,0.000892814,0.00351,1.23E-05,NA,NA,NA,NA
LR022,F117,A3,2,100,L,3,163,0.108377117,0.011745599,0.023758896,0.000564485,300,0,0,0
LR023,F117,A3,2,100,L,4,115,0.10674,0.011393428,0.0234,0.00054756,248.5,0,0,66
LR024,F117,A3,5,75,S,4,160,0.02457,0.000603685,0.01512,0.000228614,177.75,17,6,341
LR033,F109,A1,2,50,L,2,104,0.05337,0.002848357,0.0117,0.00013689,150,1,0,186
LR034,F115,A1,4,50,S,1,91,0.02656,0.000705434,0.00312,9.73E-06,300,0,0,0
LR042,F128,A2,3,75,S,4,170,0.05418,0.002935472,0.021525,0.000463326,205.25,3,2,64
LR046,F128,A2,1,75,S,8,155,0.025083871,0.000629201,0.002452645,6.02E-06,24.375,35,15,1309
LR048,F120,A3,5,100,L,5,148,0.04368,0.001907942,0.02688,0.000722534,300,0,0,0
LR049,F120,A3,1,75,L,4,129,0.050494186,0.002549663,0.004937209,2.44E-05,248,0,0,13
LR052,F107,A3,4,75,S,2,111,0.03972036,0.001577707,0.004665946,2.18E-05,300,0,0,0
LR056,F137,B1,3,100,L,5,160,0.07224,0.005218618,0.0287,0.00082369,102,0,0,357
LR057,F137,B1,5,50,L,11,188,0.02184,0.000476986,0.01344,0.000180634,219,14,8,745
LR060,F137,B1,1,75,S,5,139,0.02447482,0.000599017,0.002393094,5.73E-06,8.4,38,20,1152
LR062,F137,B1,4,100,L,5,146,0.05976,0.003571258,0.00702,4.93E-05,29,11,3,1137
LR064,F137,B1,4,50,L,2,160,0.02988,0.000892814,0.00351,1.23E-05,50,2,0,178
LR069,F137,B2,5,50,L,5,118,0.02184,0.000476986,0.01344,0.000180634,98.4,34,21,454
LR070,F137,B2,2,100,L,6,181,0.109983481,0.012096366,0.02411105,0.000581343,154.3333333,8,0,449
LR071,F137,B2,4,75,S,8,188,0.03984,0.001587226,0.00468,2.19E-05,46.25,33,15,1494
LR072,F137,B2,2,75,S,6,155,0.069725323,0.004861621,0.015285484,0.000233646,16.16666667,17,5,1401
LR077,F109,B3,4,50,S,2,129,0.02656,0.000705434,0.00312,9.73E-06,205,0,0,12
LR087,F137,B1,4,75,S,6,160,0.03984,0.001587226,0.00468,2.19E-05,86.83333333,15,5,959
LR093,F143,B2,1,100,L,6,160,0.0675,0.00455625,0.0066,4.36E-05,6.833333333,88,16,1748
LR095,F143,B2,4,50,L,4,100,0.02988,0.000892814,0.00351,1.23E-05,79,5,2,643
LR099,F143,B2,4,75,L,5,139,0.044712518,0.001999209,0.005252374,2.76E-05,79.8,7,4,749
LR102,F143,B3,4,100,S,6,127,0.05312,0.002821734,0.00624,3.89E-05,115.6666667,7,2,766
LR106,F143,B3,4,75,S,3,99,0.039705859,0.001576555,0.004664242,2.18E-05,249.3333333,0,0,123
LR109,F135,C1,5,50,S,8,170,0.01638,0.000268304,0.01008,0.000101606,222.375,5,2,227
LR111,F135,C1,3,75,S,10,188,0.05418,0.002935472,0.021525,0.000463326,63,22,17,2006
LR113,F135,C1,1,100,S,6,170,0.034147059,0.001166022,0.003338824,1.11E-05,37.33333333,37,11,817
LR117,F136,C1,3,50,S,2,99,0.03612,0.001304654,0.01435,0.000205923,150,0,0,103
LR118,F136,C1,3,100,S,4,90,0.07224,0.005218618,0.0287,0.00082369,300,0,0,0
LR124,F112,C2,3,100,S,7,153,0.07224,0.005218618,0.0287,0.00082369,166,4,1,338
LR126,F138,C2,4,50,S,3,160,0.02656,0.000705434,0.00312,9.73E-06,300,0,0,0
LR129,F138,C3,3,100,L,6,111,0.07224,0.005218618,0.0287,0.00082369,239,0,0,31
LR130,F138,C3,2,75,L,9,163,0.08109184,0.006575887,0.017777301,0.000316032,109.7777778,5,3,614
LR132,F138,C3,2,75,L,7,160,0.081055687,0.006570024,0.017769375,0.000315751,43,28,17,1568
LR136,F138,C3,5,100,L,3,111,0.04368,0.001907942,0.02688,0.000722534,214,0,0,24
LR137,F138,C3,3,100,S,4,163,0.07224,0.005218618,0.0287,0.00082369,65.5,4,3,440
LR139,F136,C1,4,75,L,4,154,0.04482,0.002008832,0.005265,2.77E-05,300,0,0,0
LR140,F136,C1,2,50,L,7,184,0.055110326,0.003037148,0.012081522,0.000145963,82,3,2,846
LR141,F136,C1,2,50,S,1,28,0.03558,0.001265936,0.0078,6.08E-05,4,0,0,8
LR143,F136,C1,1,100,L,4,113,0.0675,0.00455625,0.0066,4.36E-05,81.75,6,3,679
LR148,F138,C2,5,75,S,6,139,0.024511079,0.000600793,0.015083741,0.000227519,269.8333333,0,0,110
LR150,F138,C2,2,50,S,3,79,0.040196392,0.00161575,0.008812025,7.77E-05,222.3333333,0,0,9
LR154,F138,C2,1,50,S,4,111,0.015385135,0.000236702,0.001504324,2.26E-06,150,0,0,325
LR157,F138,C3,5,75,L,2,125,0.03267264,0.001067501,0.02010624,0.000404261,300,0,0,0
LR158,F138,C3,2,50,S,2,128,0.045169922,0.002040322,0.009902344,9.81E-05,165,0,0,0
LR161,F138,C3,5,100,S,2,129,0.03276,0.001073218,0.02016,0.000406426,150.1,3,1,250
LR165,F118,D1,1,100,L,6,182,0.0675,0.00455625,0.0066,4.36E-05,108,2,2,468
LR167,F118,D1,1,75,S,2,114,0.023269737,0.000541481,0.002275263,5.18E-06,40,0,0,137
LR174,F118,D2,5,75,L,3,170,0.03276,0.001073218,0.02016,0.000406426,300,0,0,0
LR175,F112,D2,5,50,L,4,106,0.02184,0.000476986,0.01344,0.000180634,25.5,35,10,1027
LR176,F118,D2,2,50,L,2,84,0.05337,0.002848357,0.0117,0.00013689,300,0,0,0
LR178,F118,D2,5,75,S,8,202,0.02457,0.000603685,0.01512,0.000228614,196.625,5,1,523
LR182,F115,D2,2,75,L,6,104,0.080055,0.006408803,0.01755,0.000308002,125.6666667,15,3,709
LR184,F121,D3,1,75,S,1,90,0.021375,0.000456891,0.00209,4.37E-06,300,0,0,0
LR185,F121,D3,3,75,L,3,148,0.05418,0.002935472,0.021525,0.000463326,48,0,0,379
LR186,F121,D3,1,100,S,4,93,0.028887097,0.000834464,0.002824516,7.98E-06,9.75,1,0,1031
LR187,F106,D3,3,75,S,6,191,0.054085445,0.002925235,0.021487435,0.00046171,270.6666667,0,0,18
LR189,F121,D3,5,100,S,6,167,0.03276,0.001073218,0.02016,0.000406426,85,1,1,818
LR190,F121,D3,3,100,L,4,120,0.07224,0.005218618,0.0287,0.00082369,87.25,3,3,741
LR192,F121,D3,2,75,L,6,167,0.081386587,0.006623777,0.017841916,0.000318334,122.1666667,11,7,598
LR200,F118,D1,2,100,L,4,153,0.107321373,0.011517877,0.023527451,0.000553541,80.75,16,8,540
LR201,F118,D2,1,50,L,6,170,0.03375,0.001139063,0.0033,1.09E-05,230.1666667,0,0,18
LR205,F118,D2,5,50,L,1,56,0.02184,0.000476986,0.01344,0.000180634,48,0,0,36
