FID,Family,Stack_shelf,Diet,Level,Size,P_day,P2_day,L_day,L2_day,Days_breeding,Number_clutches,mean_number,Total_egg
LR002,F137,A1,5,50,S,0.011290169,0.000127468,0.006947797,4.83E-05,94,9,113,904
LR003,F137,A1,5,50,S,0.012349128,0.000152501,0.007599463,5.78E-05,104,8,105.7142857,740
LR006,F137,A1,5,50,S,0.012059137,0.000145423,0.007421007,5.51E-05,122,13,65.92307692,857
LR007,F137,A1,2,75,L,0.060276056,0.003633203,0.013213975,0.000174609,143,17,137.9375,2207
LR008,F137,A1,4,50,L,0.031458361,0.000989628,0.00369541,1.37E-05,113,8,70.33333333,422
LR009,F137,A1,4,75,L,0.046089412,0.002124234,0.005414118,2.93E-05,80,6,86,516
LR012,F118,A2,4,75,S,0.037934074,0.001438994,0.004456111,1.99E-05,130,11,52.22222222,470
LR013,F109,A2,3,100,L,0.076407692,0.005838135,0.030355769,0.000921473,123,14,126.9285714,1777
LR014,F118,A2,4,50,S,0.024411765,0.000595934,0.002867647,8.22E-06,105,6,22.6,113
LR016,F118,A2,5,50,S,0.012783593,0.00016342,0.007866826,6.19E-05,130,16,101.625,1626
LR025,F117,A3,1,75,L,0.030236301,0.000914234,0.002956438,8.74E-06,71,9,86.625,693
LR232,F122,A3,1,50,L,0.027690341,0.000766755,0.0027075,7.33E-06,141,16,110.5714286,1548
LR400,F129,A3,4,75,S,0.037759747,0.001425798,0.004435633,1.97E-05,127,12,65.33333333,784
LR031,F137,A1,2,50,S,0.031432638,0.000988011,0.006890798,4.75E-05,153,15,92.33333333,1385
LR032,F137,A1,5,50,L,0.02184,0.000476986,0.01344,0.000180634,156,18,120.4615385,1566
LR035,F115,A1,2,75,S,0.043803679,0.001918762,0.00960283,9.22E-05,65,8,95.75,766
LR037,F115,A1,1,75,L,0.036357955,0.001321901,0.003555,1.26E-05,101,12,78.3,783
LR039,F128,A2,2,50,S,0.029597522,0.000876013,0.006488496,4.21E-05,117,12,117.9230769,1533
LR042,F128,A2,3,75,S,0.05418,0.002935472,0.021525,0.000463326,0,1,130,130
LR043,F128,A2,3,75,L,0.058237785,0.00339164,0.023137104,0.000535326,145,11,119.6666667,1077
LR045,F128,A2,2,75,S,0.046052128,0.002120798,0.010095745,0.000101924,149,15,81.42857143,1140
LR053,F106,A3,3,75,S,0.05418,0.002935472,0.021525,0.000463326,139,12,109.5454545,1205
LR055,F137,B1,5,50,L,0.02184,0.000476986,0.01344,0.000180634,91,8,134.2857143,940
LR058,F137,B1,1,50,S,0.01704375,0.000290489,0.0016665,2.78E-06,146,9,61.66666667,555
LR059,F137,B1,2,75,S,0.038121429,0.001453243,0.008357143,6.98E-05,8,2,97.5,195
LR065,F137,B2,2,50,L,0.039576304,0.001566284,0.008676087,7.53E-05,116,19,122.1111111,2198
LR066,F137,B2,4,100,L,0.064751141,0.00419271,0.007606309,5.79E-05,146,15,87.35714286,1223
LR067,F137,B2,3,100,L,0.076210638,0.005808061,0.030277482,0.000916726,130,16,128.125,2050
LR595,F133,B3,3,50,S,0.03612,0.001304654,0.01435,0.000205923,103,11,161.6,1616
LR599,F133,B3,3,100,S,0.07224,0.005218618,0.0287,0.00082369,51,5,127.4,637
LR084,F143,B1,2,50,S,0.030852587,0.000951882,0.006763636,4.57E-05,126,15,148.8571429,2084
LR085,F137,B1,3,75,L,0.058613892,0.003435588,0.023286527,0.000542262,151,23,156.8695652,3608
LR086,F137,B1,2,50,L,0.040249875,0.001620052,0.00882375,7.79E-05,160,25,114.12,2853
LR088,F137,B1,2,50,S,0.030751286,0.000945642,0.006741429,4.54E-05,142,17,108.2857143,1516
LR089,F137,B1,5,50,L,0.02184,0.000476986,0.01344,0.000180634,135,18,108,1944
LR090,F137,B1,5,100,L,0.04368,0.001907942,0.02688,0.000722534,106,11,118.5555556,1067
LR091,F137,B1,2,100,L,0.077867705,0.006063379,0.017070492,0.000291402,121,17,114.125,1826
LR094,F143,B2,1,75,L,0.03752069,0.001407802,0.00366869,1.35E-05,119,16,135.4375,2167
LR096,F143,B2,3,50,L,0.037625,0.001415641,0.014947917,0.00022344,109,8,141.6,708
LR097,F143,B2,2,75,L,0.055924947,0.0031276,0.012260106,0.00015031,71,10,173,1211
LR100,F143,B2,3,50,L,0.038203846,0.001459534,0.015177885,0.000230368,139,14,119.5454545,1315
LR101,F143,B3,4,50,L,0.03207741,0.00102896,0.003768129,1.42E-05,117,11,101,1010
LR104,F143,B3,2,75,L,0.060374812,0.003645118,0.013235625,0.000175182,138,15,172.5333333,2588
LR105,F143,B3,2,75,L,0.058552913,0.003428444,0.01283622,0.000164769,93,14,144.5833333,1735
LR107,F143,B3,5,75,L,0.03276,0.001073218,0.02016,0.000406426,132,6,103.75,415
LR108,F143,B3,2,100,L,0.079560833,0.006329926,0.017441667,0.000304212,120,17,173.4705882,2949
LR110,F135,C1,2,100,S,0.060514016,0.003661946,0.013266142,0.000175991,105,10,167.3333333,1506
LR112,F135,C1,1,100,S,0.0291,0.00084681,0.002845333,8.10E-06,68,8,109.8333333,659
LR114,F135,C1,4,75,L,0.047678195,0.00227321,0.005600752,3.14E-05,133,11,144.7272727,1592
LR115,F136,C1,2,50,L,0.040113581,0.001609099,0.008793871,7.73E-05,106,9,112.3333333,1011
LR116,F136,C1,3,50,L,0.03732874,0.001393435,0.014830217,0.000219935,101,6,98.2,491
LR119,F136,C2,2,50,S,0.030716547,0.000943506,0.006733813,4.53E-05,111,8,109.25,874
LR120,F136,C2,1,75,S,0.024878571,0.000618943,0.002432571,5.92E-06,110,9,66.14285714,463
LR338,F132,C2,4,75,L,0.048524768,0.002354653,0.005700199,3.25E-05,124,10,99.33333333,894
LR342,F132,C2,1,100,S,0.033705298,0.001136047,0.003295629,1.09E-05,139,6,92.2,461
LR343,F132,C2,5,75,L,0.032692174,0.001068778,0.020118261,0.000404744,166,14,140.2857143,1964
LR128,F138,C2,2,50,L,0.039747587,0.001579871,0.008713636,7.59E-05,113,10,119.6666667,1077
LR131,F138,C3,5,75,L,0.03276,0.001073218,0.02016,0.000406426,128,17,122.4705882,2082
LR134,F138,C3,1,100,L,0.044228571,0.001956167,0.004324571,1.87E-05,89,8,85.875,687
LR138,F138,C3,4,100,L,0.060463059,0.003655781,0.007102588,5.04E-05,55,3,125.6666667,377
LR142,F136,C1,1,75,L,0.031066265,0.000965113,0.00303759,9.23E-06,58,7,102.4285714,717
LR144,F136,C1,3,100,S,0.07224,0.005218618,0.0287,0.00082369,126,11,116,1044
LR145,F136,C1,2,100,S,0.062915854,0.003958405,0.013792683,0.000190238,125,17,120.4375,1927
LR146,F136,C1,3,100,S,0.07224,0.005218618,0.0287,0.00082369,77,5,113.6666667,341
