vial,cage,cagediet,assaydiet,sample,age,wtnumber,ebnumber,totalnumber,reproductiveperformance
1,4a,0.4,0.4,1,7,175,0,175,1
1,4a,0.4,0.4,2,28,140,34,174,0.804597701
1,4a,0.4,0.4,3,56,0,167,167,0
2,4a,0.4,0.4,1,7,168,2,170,0.988235294
2,4a,0.4,0.4,2,28,144,19,163,0.883435583
2,4a,0.4,0.4,3,56,1,169,170,0.005882353
3,4a,0.4,0.4,1,7,154,0,154,1
3,4a,0.4,0.4,2,28,127,42,169,0.75147929
3,4a,0.4,0.4,3,56,6,171,177,0.033898305
4,4b,0.4,0.4,1,7,164,0,164,1
4,4b,0.4,0.4,2,28,115,42,157,0.732484076
4,4b,0.4,0.4,3,56,4,141,145,0.027586207
5,4b,0.4,0.4,1,7,167,0,167,1
5,4b,0.4,0.4,2,28,120,31,151,0.794701987
5,4b,0.4,0.4,3,56,2,151,153,0.013071895
6,4b,0.4,0.4,1,7,161,0,161,1
6,4b,0.4,0.4,2,28,107,57,164,0.652439024
6,4b,0.4,0.4,3,56,5,172,177,0.028248588
7,4c,0.4,0.4,1,7,180,0,180,1
7,4c,0.4,0.4,2,28,135,23,158,0.85443038
7,4c,0.4,0.4,3,56,6,147,153,0.039215686
8,4c,0.4,0.4,1,7,154,0,154,1
8,4c,0.4,0.4,2,28,114,47,161,0.708074534
8,4c,0.4,0.4,3,56,6,150,156,0.038461538
9,4c,0.4,0.4,1,7,171,0,171,1
9,4c,0.4,0.4,2,28,124,38,162,0.765432099
9,4c,0.4,0.4,3,56,6,169,175,0.034285714
10,4d,0.4,0.4,1,7,175,0,175,1
10,4d,0.4,0.4,2,28,164,0,164,1
10,4d,0.4,0.4,3,56,3,149,152,0.019736842
11,4d,0.4,0.4,1,7,169,0,169,1
11,4d,0.4,0.4,2,28,90,60,150,0.6
11,4d,0.4,0.4,3,56,6,151,157,0.038216561
12,4d,0.4,0.4,1,7,168,0,168,1
12,4d,0.4,0.4,2,28,152,17,169,0.899408284
12,4d,0.4,0.4,3,56,0,169,169,0
25,4a,0.4,1,1,7,161,0,161,1
25,4a,0.4,1,2,28,150,19,169,0.887573964
25,4a,0.4,1,3,56,3,147,150,0.02
26,4a,0.4,1,1,7,155,0,155,1
26,4a,0.4,1,2,28,102,41,143,0.713286713
26,4a,0.4,1,3,56,1,147,148,0.006756757
27,4a,0.4,1,1,7,173,0,173,1
27,4a,0.4,1,2,28,127,32,159,0.798742138
27,4a,0.4,1,3,56,1,164,165,0.006060606
28,4b,0.4,1,1,7,163,0,163,1
28,4b,0.4,1,2,28,158,19,177,0.892655367
28,4b,0.4,1,3,56,3,162,165,0.018181818
29,4b,0.4,1,1,7,168,1,169,0.99408284
29,4b,0.4,1,2,28,144,21,165,0.872727273
29,4b,0.4,1,3,56,1,148,149,0.006711409
30,4b,0.4,1,1,7,155,0,155,1
30,4b,0.4,1,2,28,133,37,170,0.782352941
30,4b,0.4,1,3,56,0,166,166,0
31,4c,0.4,1,1,7,171,0,171,1
31,4c,0.4,1,2,28,131,27,158,0.829113924
31,4c,0.4,1,3,56,3,145,148,0.02027027
32,4c,0.4,1,1,7,154,0,154,1
32,4c,0.4,1,2,28,127,19,146,0.869863014
32,4c,0.4,1,3,56,5,158,163,0.030674847
33,4c,0.4,1,1,7,156,0,156,1
33,4c,0.4,1,2,28,128,29,157,0.815286624
33,4c,0.4,1,3,56,2,146,148,0.013513514
34,4d,0.4,1,1,7,151,0,151,1
34,4d,0.4,1,2,28,138,11,149,0.926174497
34,4d,0.4,1,3,56,6,149,155,0.038709677
35,4d,0.4,1,1,7,152,2,154,0.987012987
35,4d,0.4,1,2,28,141,25,166,0.84939759
35,4d,0.4,1,3,56,1,171,172,0.005813953
36,4d,0.4,1,1,7,150,0,150,1
36,4d,0.4,1,2,28,145,18,163,0.889570552
36,4d,0.4,1,3,56,4,155,159,0.025157233
49,4a,0.4,3,1,7,160,1,161,0.99378882
49,4a,0.4,3,2,28,171,2,173,0.988439306
49,4a,0.4,3,3,56,0,148,148,0
50,4a,0.4,3,1,7,173,0,173,1
50,4a,0.4,3,2,28,132,16,148,0.891891892
51,4a,0.4,3,1,7,157,0,157,1
51,4a,0.4,3,2,28,147,14,161,0.913043478
51,4a,0.4,3,3,56,0,148,148,0
52,4b,0.4,3,1,7,181,1,182,0.994505495
52,4b,0.4,3,2,28,128,33,161,0.795031056
53,4b,0.4,3,1,7,171,0,171,1
53,4b,0.4,3,2,28,141,23,164,0.859756098
53,4b,0.4,3,3,56,0,174,174,0
54,4b,0.4,3,1,7,157,2,159,0.987421384
54,4b,0.4,3,2,28,167,2,169,0.98816568
55,4c,0.4,3,1,7,141,0,141,1
55,4c,0.4,3,2,28,132,19,151,0.874172185
56,4c,0.4,3,1,7,157,0,157,1
56,4c,0.4,3,2,28,162,12,174,0.931034483
56,4c,0.4,3,3,56,2,172,174,0.011494253
57,4c,0.4,3,1,7,153,1,154,0.993506494
57,4c,0.4,3,2,28,157,0,157,1
58,4d,0.4,3,1,7,160,0,160,1
58,4d,0.4,3,2,28,131,18,149,0.879194631
58,4d,0.4,3,3,56,3,151,154,0.019480519
59,4d,0.4,3,1,7,169,2,171,0.988304094
59,4d,0.4,3,2,28,174,3,177,0.983050847
59,4d,0.4,3,3,56,5,140,145,0.034482759
60,4d,0.4,3,1,7,154,0,154,1
60,4d,0.4,3,2,28,138,15,153,0.901960784
60,4d,0.4,3,3,56,3,164,167,0.017964072
73,1a,1,0.4,1,7,155,0,155,1
73,1a,1,0.4,2,28,123,32,155,0.793548387
73,1a,1,0.4,3,56,1,171,172,0.005813953
74,1a,1,0.4,1,7,162,3,165,0.981818182
74,1a,1,0.4,2,28,114,41,155,0.735483871
74,1a,1,0.4,3,56,4,154,158,0.025316456
75,1a,1,0.4,1,7,161,0,161,1
75,1a,1,0.4,2,28,130,38,168,0.773809524
75,1a,1,0.4,3,56,4,146,150,0.026666667
76,1b,1,0.4,1,7,174,0,174,1
76,1b,1,0.4,2,28,122,35,157,0.777070064
76,1b,1,0.4,3,56,0,161,161,0
77,1b,1,0.4,1,7,167,0,167,1
77,1b,1,0.4,2,28,109,46,155,0.703225806
77,1b,1,0.4,3,56,6,169,175,0.034285714
78,1b,1,0.4,1,7,170,2,172,0.988372093
78,1b,1,0.4,2,28,142,22,164,0.865853659
78,1b,1,0.4,3,56,3,170,173,0.01734104
79,1c,1,0.4,1,7,172,1,173,0.994219653
79,1c,1,0.4,2,28,128,49,177,0.723163842
79,1c,1,0.4,3,56,3,165,168,0.017857143
80,1c,1,0.4,1,7,172,0,172,1
80,1c,1,0.4,2,28,123,39,162,0.759259259
80,1c,1,0.4,3,56,2,163,165,0.012121212
81,1c,1,0.4,1,7,177,0,177,1
81,1c,1,0.4,2,28,109,63,172,0.63372093
81,1c,1,0.4,3,56,3,160,163,0.018404908
82,1d,1,0.4,1,7,168,0,168,1
82,1d,1,0.4,2,28,110,40,150,0.733333333
82,1d,1,0.4,3,56,2,174,176,0.011363636
83,1d,1,0.4,1,7,157,0,157,1
83,1d,1,0.4,2,28,109,42,151,0.721854305
83,1d,1,0.4,3,56,2,166,168,0.011904762
84,1d,1,0.4,1,7,175,0,175,1
84,1d,1,0.4,2,28,132,25,157,0.840764331
84,1d,1,0.4,3,56,2,168,170,0.011764706
97,1a,1,1,1,7,172,0,172,1
97,1a,1,1,2,28,163,15,178,0.915730337
97,1a,1,1,3,56,2,147,149,0.013422819
