vial,cage,cagediet,assaydiet,lifespan
1,4a,4,4,27
1,4a,4,4,27
1,4a,4,4,27
1,4a,4,4,27
1,4a,4,4,34
1,4a,4,4,36
1,4a,4,4,36
1,4a,4,4,36
1,4a,4,4,41
1,4a,4,4,41
1,4a,4,4,41
1,4a,4,4,41
1,4a,4,4,43
1,4a,4,4,45.5
1,4a,4,4,45.5
1,4a,4,4,45.5
1,4a,4,4,45.5
1,4a,4,4,45.5
1,4a,4,4,45.5
1,4a,4,4,48
1,4a,4,4,48
1,4a,4,4,50
1,4a,4,4,50
1,4a,4,4,52.5
1,4a,4,4,52.5
1,4a,4,4,52.5
1,4a,4,4,52.5
1,4a,4,4,52.5
1,4a,4,4,52.5
1,4a,4,4,55
1,4a,4,4,55
1,4a,4,4,55
1,4a,4,4,55
1,4a,4,4,57
1,4a,4,4,57
1,4a,4,4,57
1,4a,4,4,57
1,4a,4,4,59.5
1,4a,4,4,66.5
1,4a,4,4,90
2,4a,4,4,8
2,4a,4,4,29
2,4a,4,4,29
2,4a,4,4,31.5
2,4a,4,4,31.5
2,4a,4,4,31.5
2,4a,4,4,31.5
2,4a,4,4,31.5
2,4a,4,4,36
2,4a,4,4,36
2,4a,4,4,36
2,4a,4,4,36
2,4a,4,4,36
2,4a,4,4,41
2,4a,4,4,41
2,4a,4,4,45.5
2,4a,4,4,45.5
2,4a,4,4,45.5
2,4a,4,4,48
2,4a,4,4,48
2,4a,4,4,50
2,4a,4,4,50
2,4a,4,4,50
2,4a,4,4,50
2,4a,4,4,52.5
2,4a,4,4,52.5
2,4a,4,4,55
2,4a,4,4,57
2,4a,4,4,59.5
2,4a,4,4,59.5
2,4a,4,4,59.5
2,4a,4,4,59.5
2,4a,4,4,59.5
2,4a,4,4,62
2,4a,4,4,62
2,4a,4,4,66.5
2,4a,4,4,66.5
2,4a,4,4,66.5
2,4a,4,4,66.5
2,4a,4,4,80.5
3,4a,4,4,24.5
3,4a,4,4,24.5
3,4a,4,4,27
3,4a,4,4,29
3,4a,4,4,31.5
3,4a,4,4,31.5
3,4a,4,4,36
3,4a,4,4,36
3,4a,4,4,38.5
3,4a,4,4,38.5
3,4a,4,4,38.5
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,41
3,4a,4,4,43
3,4a,4,4,43
3,4a,4,4,43
3,4a,4,4,45.5
3,4a,4,4,52.5
3,4a,4,4,52.5
3,4a,4,4,52.5
3,4a,4,4,52.5
3,4a,4,4,52.5
3,4a,4,4,57
3,4a,4,4,57
3,4a,4,4,57
3,4a,4,4,57
3,4a,4,4,57
3,4a,4,4,59.5
3,4a,4,4,59.5
3,4a,4,4,59.5
3,4a,4,4,64
3,4a,4,4,66.5
3,4a,4,4,73.5
4,4b,4,4,36
4,4b,4,4,38.5
4,4b,4,4,38.5
4,4b,4,4,38.5
4,4b,4,4,41
4,4b,4,4,41
4,4b,4,4,41
4,4b,4,4,43
4,4b,4,4,43
4,4b,4,4,45.5
4,4b,4,4,45.5
4,4b,4,4,48
4,4b,4,4,48
4,4b,4,4,48
4,4b,4,4,48
4,4b,4,4,50
4,4b,4,4,50
4,4b,4,4,50
4,4b,4,4,50
4,4b,4,4,50
4,4b,4,4,52.5
4,4b,4,4,52.5
4,4b,4,4,52.5
4,4b,4,4,52.5
4,4b,4,4,52.5
4,4b,4,4,57
4,4b,4,4,57
4,4b,4,4,57
4,4b,4,4,57
4,4b,4,4,57
4,4b,4,4,57
4,4b,4,4,59.5
4,4b,4,4,59.5
4,4b,4,4,59.5
4,4b,4,4,59.5
4,4b,4,4,59.5
4,4b,4,4,62
4,4b,4,4,64
4,4b,4,4,66.5
4,4b,4,4,78
5,4b,4,4,10.5
5,4b,4,4,10.5
5,4b,4,4,31.5
5,4b,4,4,34
5,4b,4,4,36
5,4b,4,4,36
5,4b,4,4,38.5
5,4b,4,4,38.5
5,4b,4,4,38.5
5,4b,4,4,41
5,4b,4,4,41
5,4b,4,4,41
5,4b,4,4,43
5,4b,4,4,45.5
5,4b,4,4,45.5
5,4b,4,4,45.5
5,4b,4,4,45.5
5,4b,4,4,45.5
5,4b,4,4,45.5
5,4b,4,4,48
5,4b,4,4,48
5,4b,4,4,48
5,4b,4,4,50
5,4b,4,4,50
5,4b,4,4,50
5,4b,4,4,50
5,4b,4,4,50
5,4b,4,4,52.5
5,4b,4,4,52.5
5,4b,4,4,52.5
5,4b,4,4,55
5,4b,4,4,55
5,4b,4,4,57
5,4b,4,4,59.5
5,4b,4,4,59.5
5,4b,4,4,64
5,4b,4,4,64
5,4b,4,4,66.5
5,4b,4,4,69
5,4b,4,4,73.5
6,4b,4,4,29
6,4b,4,4,31.5
6,4b,4,4,36
6,4b,4,4,36
6,4b,4,4,38.5
6,4b,4,4,38.5
6,4b,4,4,43
6,4b,4,4,45.5
6,4b,4,4,45.5
6,4b,4,4,45.5
6,4b,4,4,45.5
6,4b,4,4,45.5
6,4b,4,4,45.5
6,4b,4,4,48
6,4b,4,4,48
6,4b,4,4,48
6,4b,4,4,48
6,4b,4,4,48
6,4b,4,4,50
6,4b,4,4,50
6,4b,4,4,50
6,4b,4,4,50
6,4b,4,4,52.5
6,4b,4,4,52.5
6,4b,4,4,52.5
6,4b,4,4,52.5
6,4b,4,4,52.5
6,4b,4,4,55
6,4b,4,4,55
6,4b,4,4,57
6,4b,4,4,57
6,4b,4,4,57
6,4b,4,4,59.5
6,4b,4,4,62
6,4b,4,4,64
6,4b,4,4,64
6,4b,4,4,66.5
6,4b,4,4,66.5
6,4b,4,4,69
6,4b,4,4,78
7,4c,4,4,24.5
7,4c,4,4,36
7,4c,4,4,38.5
7,4c,4,4,43
7,4c,4,4,43
7,4c,4,4,45.5
7,4c,4,4,45.5
7,4c,4,4,45.5
7,4c,4,4,48
7,4c,4,4,48
7,4c,4,4,48
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,50
7,4c,4,4,52.5
7,4c,4,4,52.5
7,4c,4,4,52.5
7,4c,4,4,57
7,4c,4,4,59.5
7,4c,4,4,59.5
7,4c,4,4,59.5
7,4c,4,4,59.5
7,4c,4,4,59.5
7,4c,4,4,62
7,4c,4,4,64
7,4c,4,4,64
7,4c,4,4,66.5
7,4c,4,4,66.5
7,4c,4,4,66.5
7,4c,4,4,73.5
7,4c,4,4,73.5
7,4c,4,4,73.5
7,4c,4,4,76
7,4c,4,4,80.5
8,4c,4,4,36
8,4c,4,4,36
8,4c,4,4,36
8,4c,4,4,36
8,4c,4,4,38.5
8,4c,4,4,43
8,4c,4,4,45.5
8,4c,4,4,45.5
8,4c,4,4,45.5
8,4c,4,4,45.5
8,4c,4,4,45.5
8,4c,4,4,48
8,4c,4,4,48
8,4c,4,4,48
8,4c,4,4,50
8,4c,4,4,50
8,4c,4,4,50
8,4c,4,4,52.5
8,4c,4,4,52.5
8,4c,4,4,52.5
8,4c,4,4,52.5
8,4c,4,4,52.5
8,4c,4,4,52.5
8,4c,4,4,55
8,4c,4,4,55
8,4c,4,4,55
8,4c,4,4,57
8,4c,4,4,59.5
8,4c,4,4,59.5
8,4c,4,4,59.5
8,4c,4,4,59.5
8,4c,4,4,62
8,4c,4,4,62
8,4c,4,4,64
8,4c,4,4,66.5
8,4c,4,4,66.5
8,4c,4,4,66.5
8,4c,4,4,71
8,4c,4,4,76
8,4c,4,4,76
9,4c,4,4,8
9,4c,4,4,31.5
9,4c,4,4,38.5
9,4c,4,4,38.5
9,4c,4,4,38.5
9,4c,4,4,41
9,4c,4,4,43
9,4c,4,4,43
9,4c,4,4,43
9,4c,4,4,45.5
9,4c,4,4,45.5
9,4c,4,4,45.5
9,4c,4,4,45.5
9,4c,4,4,45.5
9,4c,4,4,48
9,4c,4,4,48
9,4c,4,4,48
9,4c,4,4,50
9,4c,4,4,50
9,4c,4,4,50
9,4c,4,4,50
9,4c,4,4,52.5
9,4c,4,4,55
9,4c,4,4,55
9,4c,4,4,55
9,4c,4,4,55
9,4c,4,4,59.5
9,4c,4,4,59.5
9,4c,4,4,59.5
9,4c,4,4,59.5
9,4c,4,4,62
9,4c,4,4,62
9,4c,4,4,62
9,4c,4,4,64
9,4c,4,4,64
9,4c,4,4,66.5
9,4c,4,4,66.5
9,4c,4,4,66.5
9,4c,4,4,71
9,4c,4,4,73.5
10,4d,4,4,24.5
10,4d,4,4,27
10,4d,4,4,27
10,4d,4,4,29
10,4d,4,4,36
10,4d,4,4,41
10,4d,4,4,41
10,4d,4,4,41
10,4d,4,4,45.5
10,4d,4,4,45.5
10,4d,4,4,48
10,4d,4,4,48
10,4d,4,4,50
10,4d,4,4,50
10,4d,4,4,50
10,4d,4,4,50
10,4d,4,4,50
10,4d,4,4,50
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,52.5
10,4d,4,4,55
10,4d,4,4,55
10,4d,4,4,57
10,4d,4,4,57
10,4d,4,4,57
10,4d,4,4,59.5
10,4d,4,4,59.5
10,4d,4,4,59.5
10,4d,4,4,59.5
10,4d,4,4,62
10,4d,4,4,62
10,4d,4,4,62
10,4d,4,4,64
10,4d,4,4,64
10,4d,4,4,66.5
11,4d,4,4,27
11,4d,4,4,36
11,4d,4,4,38.5
11,4d,4,4,41
11,4d,4,4,41
11,4d,4,4,41
11,4d,4,4,41
11,4d,4,4,45.5
11,4d,4,4,45.5
11,4d,4,4,45.5
11,4d,4,4,45.5
11,4d,4,4,48
11,4d,4,4,48
11,4d,4,4,48
11,4d,4,4,48
11,4d,4,4,50
11,4d,4,4,50
11,4d,4,4,50
11,4d,4,4,52.5
11,4d,4,4,52.5
11,4d,4,4,52.5
11,4d,4,4,52.5
11,4d,4,4,52.5
11,4d,4,4,55
11,4d,4,4,55
11,4d,4,4,55
11,4d,4,4,55
11,4d,4,4,55
11,4d,4,4,57
11,4d,4,4,57
11,4d,4,4,57
11,4d,4,4,57
11,4d,4,4,59.5
11,4d,4,4,59.5
11,4d,4,4,62
11,4d,4,4,62
11,4d,4,4,66.5
11,4d,4,4,66.5
11,4d,4,4,66.5
11,4d,4,4,73.5
12,4d,4,4,17.5
12,4d,4,4,36
12,4d,4,4,38.5
12,4d,4,4,41
12,4d,4,4,41
12,4d,4,4,41
12,4d,4,4,41
12,4d,4,4,41
12,4d,4,4,41
12,4d,4,4,43
12,4d,4,4,43
12,4d,4,4,45.5
12,4d,4,4,45.5
12,4d,4,4,45.5
12,4d,4,4,48
12,4d,4,4,48
12,4d,4,4,48
12,4d,4,4,50
12,4d,4,4,50
12,4d,4,4,50
12,4d,4,4,50
12,4d,4,4,50
12,4d,4,4,50
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,52.5
12,4d,4,4,55
12,4d,4,4,59.5
12,4d,4,4,59.5
12,4d,4,4,62
12,4d,4,4,64
12,4d,4,4,66.5
12,4d,4,4,66.5
12,4d,4,4,66.5
12,4d,4,4,76
12,4d,4,4,83
13,4a,4,4,20
13,4a,4,4,50
13,4a,4,4,50
13,4a,4,4,50
13,4a,4,4,55
13,4a,4,4,64
13,4a,4,4,64
13,4a,4,4,66.5
13,4a,4,4,66.5
13,4a,4,4,66.5
13,4a,4,4,69
13,4a,4,4,71
13,4a,4,4,71
13,4a,4,4,71
13,4a,4,4,73.5
13,4a,4,4,73.5
13,4a,4,4,73.5
13,4a,4,4,73.5
13,4a,4,4,76
13,4a,4,4,76
13,4a,4,4,78
13,4a,4,4,78
13,4a,4,4,78
13,4a,4,4,78
13,4a,4,4,80.5
13,4a,4,4,80.5
13,4a,4,4,80.5
13,4a,4,4,80.5
13,4a,4,4,80.5
13,4a,4,4,83
13,4a,4,4,83
13,4a,4,4,83
13,4a,4,4,83
13,4a,4,4,83
13,4a,4,4,83
13,4a,4,4,85
13,4a,4,4,85
13,4a,4,4,85
13,4a,4,4,87.5
13,4a,4,4,87.5
14,4a,4,4,43
14,4a,4,4,45.5
14,4a,4,4,48
14,4a,4,4,50
14,4a,4,4,50
14,4a,4,4,64
14,4a,4,4,66.5
14,4a,4,4,66.5
14,4a,4,4,66.5
14,4a,4,4,69
14,4a,4,4,69
14,4a,4,4,69
14,4a,4,4,69
14,4a,4,4,71
14,4a,4,4,71
14,4a,4,4,71
14,4a,4,4,73.5
14,4a,4,4,73.5
14,4a,4,4,73.5
14,4a,4,4,73.5
14,4a,4,4,73.5
14,4a,4,4,78
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,80.5
14,4a,4,4,83
14,4a,4,4,83
14,4a,4,4,85
14,4a,4,4,87.5
14,4a,4,4,87.5
14,4a,4,4,87.5
14,4a,4,4,90
14,4a,4,4,90
14,4a,4,4,90
14,4a,4,4,90
14,4a,4,4,90
15,4a,4,4,92
16,4b,4,4,1
16,4b,4,4,1
16,4b,4,4,48
16,4b,4,4,50
16,4b,4,4,62
16,4b,4,4,62
16,4b,4,4,64
16,4b,4,4,64
16,4b,4,4,69
16,4b,4,4,71
16,4b,4,4,71
16,4b,4,4,71
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,73.5
16,4b,4,4,76
16,4b,4,4,76
16,4b,4,4,76
16,4b,4,4,78
16,4b,4,4,78
16,4b,4,4,78
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,80.5
16,4b,4,4,83
16,4b,4,4,83
16,4b,4,4,85
16,4b,4,4,85
